;Entrevillas;Art City Living;Valle del Norte;Leven;Ponteverdi;Belo Horizonte;Reserva Serrat Selva;Jazz apartamentos;Avenida Park;Alto jardín
Precio;394000000;512000000;404000000;679370000;174000000;179400000;363900000;729830000;579479403;195000000
Tasa de hurto;0.0115;0.0187;0.0045;0.0187;0.0024;0.0045;0.0092;0.0230;0.0187;0.0092
Fecha de entrega;2.5;2;2;1.5;0;0;2;0.5;0.5;0.5
Plazo pago cuota inicial;29;10;18;10;3;3;22;2;2;2
Piscina;1;2;1;1;1;1;1;1;1;1
Gimnasio;1;1;0;1;1;1;0;1;1;1
Salón social;1;1;1;1;0;1;1;1;1;1
Tamaño;59.48;60.3;63.56;57;43.84;48;54;102;60.59;48.5
Parqueadero;1;1;1;1;1;0;1;1;1;1
Cuarto útil;1;0;1;1;0;0;0;0;0;0
