;Entrevillas;Art City Living;Valle del Norte;Leven;Ponteverdi;Belo Horizonte;Reserva Serrat Selva;Jazz apartamentos;Avenida Park;Alto jardín
Entrevillas;1;9;1;1;9;9;9;9;9;9
Art City Living;0.11;1;0.11;0.11;1;1;1;1;1;1
Valle del Norte;1;9;1;1;9;9;9;9;9;9
Leven;1;9;1;1;9;9;9;9;9;9
Ponteverdi;0.11;1;0.11;0.11;1;1;1;1;1;1
Belo Horizonte;0.11;1;0.11;0.11;1;1;1;1;1;1
Reserva Serrat Selva;0.11;1;0.11;0.11;1;1;1;1;1;1
Jazz apartamentos;0.11;1;0.11;0.11;1;1;1;1;1;1
Avenida Park;0.11;1;0.11;0.11;1;1;1;1;1;1
Alto jardín;0.11;1;0.11;0.11;1;1;1;1;1;1

