;Entrevillas;Art City Living;Valle del Norte;Leven;Ponteverdi;Belo Horizonte;Reserva Serrat Selva;Jazz apartamentos;Avenida Park;Alto jardín
Entrevillas;1;0.50;0.50;0.25;0.14;0.14;0.50;0.17;0.17;0.17
Art City Living;2;1;1;0.33;0.20;0.20;1;0.25;0.25;0.25
Valle del Norte;2;1;1;0.33;0.20;0.20;1;0.25;0.25;0.25
Leven;4;3;3;1;0.25;0.25;3;0.20;0.20;0.20
Ponteverdi;7;5;5;4;1;1;5;2;2;2
Belo Horizonte;7;5;5;4;1;1;5;2;2;2
Reserva Serrat Selva;2;1;1;0.33;0.20;0.20;1;0.25;0.25;0.25
Jazz apartamentos;6;4;4;5;0.50;0.50;4;1;1;1
Avenida Park;6;4;4;5;0.50;0.50;4;1;1;1
Alto jardín;6;4;4;5;0.50;0.50;4;1;1;1
