;Entrevillas;Art City Living;Valle del Norte;Leven;Ponteverdi;Belo Horizonte;Reserva Serrat Selva;Jazz apartamentos;Avenida Park;Alto jardín
Entrevillas;1;0.11;1;1;1;1;1;1;1;1
Art City Living;9;1;9;9;9;9;9;9;9;9
Valle del Norte;1;0.11;1;1;1;1;1;1;1;1
Leven;1;0.11;1;1;1;1;1;1;1;1
Ponteverdi;1;0.11;1;1;1;1;1;1;1;1
Belo Horizonte;1;0.11;1;1;1;1;1;1;1;1
Reserva Serrat Selva;1;0.11;1;1;1;1;1;1;1;1
Jazz apartamentos;1;0.11;1;1;1;1;1;1;1;1
Avenida Park;1;0.11;1;1;1;1;1;1;1;1
Alto jardín;1;0.11;1;1;1;1;1;1;1;1
