;Entrevillas;Art City Living;Valle del Norte;Leven;Ponteverdi;Belo Horizonte;Reserva Serrat Selva;Jazz apartamentos;Avenida Park;Alto jardín
Entrevillas;1;7;5;7;8;8;3;9;9;9
Art City Living;0.14;1;0.20;1;5;5;0.14;6;6;6
Valle del Norte;0.20;5;1;5;7;7;0.50;8;8;8
Leven;0.14;1;0.20;1;5;5;0.14;6;6;6
Ponteverdi;0.13;0.20;0.14;0.20;1;1;0.13;2;2;2
Belo Horizonte;0.13;0.20;0.14;0.20;1;1;0.13;2;2;2
Reserva Serrat Selva;0.33;7;2;7;8;8;1;9;9;9
Jazz apartamentos;0.11;0.17;0.13;0.17;0.50;0.50;0.11;1;1;1
Avenida Park;0.11;0.17;0.13;0.17;0.50;0.50;0.11;1;1;1
Alto jardín;0.11;0.17;0.13;0.17;0.50;0.50;0.11;1;1;1
