;Entrevillas;Art City Living;Valle del Norte;Leven;Ponteverdi;Belo Horizonte;Reserva Serrat Selva;Jazz apartamentos;Avenida Park;Alto jardín
Entrevillas;1;5;1;6;0.20;0.20;0.50;8;6;0.25
Art City Living;0.20;1;0.25;3;0.14;0.14;0.20;7;2;0.17
Valle del Norte;1;4;1;6;0.20;0.20;0.33;8;4;0.20
Leven;0.17;0.33;0.17;1;0.11;0.11;0.17;3;0.33;0.14
Ponteverdi;5;7;5;9;1;2;5;9;7;3
Belo Horizonte;5;7;5;9;0.50;1;4;9;7;3
Reserva Serrat Selva;2;5;3;6;0.20;0.25;1;8;7;0.25
Jazz apartamentos;0.13;0.14;0.13;0.33;0.11;0.11;0.13;1;0.20;0.13
Avenida Park;0.17;0.50;0.25;3;0.14;0.14;0.14;5;1;0.17
Alto jardín;4;6;5;7;0.33;0.33;4;8;6;1
