;Entrevillas;Art City Living;Valle del Norte;Leven;Ponteverdi;Belo Horizonte;Reserva Serrat Selva;Jazz apartamentos;Avenida Park;Alto jardín
Entrevillas;1;1;1;1;9;1;1;1;1;1
Art City Living;1;1;1;1;9;1;1;1;1;1
Valle del Norte;1;1;1;1;9;1;1;1;1;1
Leven;1;1;1;1;9;1;1;1;1;1
Ponteverdi;0.11;0.11;0.11;0.11;1;0.11;0.11;0.11;0.11;0.11
Belo Horizonte;1;1;1;1;9;1;1;1;1;1
Reserva Serrat Selva;1;1;1;1;9;1;1;1;1;1
Jazz apartamentos;1;1;1;1;9;1;1;1;1;1
Avenida Park;1;1;1;1;9;1;1;1;1;1
Alto jardín;1;1;1;1;9;1;1;1;1;1
