;Entrevillas;Art City Living;Valle del Norte;Leven;Ponteverdi;Belo Horizonte;Reserva Serrat Selva;Jazz apartamentos;Avenida Park;Alto jardín
Entrevillas;1;0.50;0.25;3;7;6;3;0.20;0.50;6
Art City Living;2;1;0.33;3;7;6;5;0.20;1;5
Valle del Norte;4;3;1;5;8;7;5;0.20;3;5
Leven;0.33;0.33;0.20;1;6;5;3;0.20;0.33;5
Ponteverdi;0.14;0.14;0.13;0.17;1;0.25;0.17;0.11;0.14;0.20
Belo Horizonte;0.17;0.17;0.14;0.2;4;1;0.20;0.13;0.17;0.50
Reserva Serrat Selva;0.33;0.20;0.20;0.33;6;5;1;0.14;0.20;5
Jazz apartamentos;5;5;5;5;9;8;7;1;5;8
Avenida Park;2;1;0.33;3;7;6;5;0.20;1;5
Alto jardín;0.17;0.20;0.20;0.2;5;2;0.20;0.13;0.20;1
