;Entrevillas;Art City Living;Valle del Norte;Leven;Ponteverdi;Belo Horizonte;Reserva Serrat Selva;Jazz apartamentos;Avenida Park;Alto jardín
Entrevillas;1;2;0.14;2;0.14;0.14;0.25;5;2;0.25
Art City Living;0.50;1;0.13;1;0.13;0.13;0.17;3;1;0.17
Valle del Norte;7;8;1;8;0.33;1;5;9;8;6
Leven;0.50;1.00;0.13;1;0.13;0.13;0.17;3;1.00;0.17
Ponteverdi;7;8;3;8;1;5;7;9;8;7
Belo Horizonte;7;8;1;8;0.20;1;5;9;8;6
Reserva Serrat Selva;4;6;0.20;6;0.14;0.20;1;7;6;1
Jazz apartamentos;0.20;0.33;0.11;0.33;0.11;0.11;0.14;1;0.33;0.14
Avenida Park;0.50;1;0.13;1;0.13;0.13;0.17;3;1;0.17
Alto jardín;4;6;0.17;6;0.14;0.17;1;7;6;1
